artist,asin,media,review_count,star_rating,title,year
Hulkoff,B08KQDYS2B,"Audio CD,MP3 Music",12,4.3,Pansarfolk,2020
Metal Inquisitor,B07KLRS8YW,"Audio CD,Vinyl",12,4.3,Panopticon,2019
Chronus,B085KN36NG,"Audio CD,MP3 Music,Vinyl",12,4.3,Idols,2020
Queensrÿche,B000ION6OK,Audio CD,12,4.3,Face to Face,2006
Voivod,B00004WF58,Audio CD,12,4.3,LIVES,2000
Skinlab,B000023XQ1,"Audio CD,MP3 Music",31,4.1,Disemboby - the New Flesh,2001
Suspyre,B000NJM6G4,"Audio CD,MP3 Music",17,4.2,Great Divide,2007
Labyrinth,B000NDJJQA,Audio CD,17,4.2,6 Days To Nowhere,2001
Autumn [Netherlands],B001PGMR7M,"Audio CD,MP3 Music",17,4.2,Altitiude,2009
White Willow,B00000BIF9,"Audio CD,MP3 Music",17,4.2,Ex Tenebris,1998
Iced Earth,B0000DIN05,Audio CD,30,4.1,Reckoning,2003
Mekong Delta,B000T9BO7U,"Audio CD,MP3 Music,Vinyl",9,4.4,Lurking Fear,2007
Vanden Plas,B00004YLCR,Audio CD,9,4.4,Spirit of Live,2000
Hittman,B000JGWBH0,"Audio CD,MP3 Music",9,4.4,Hittmanic Verses,2006
At Vance,B0007Z0XDW,"Audio CD,MP3 Music",9,4.4,Chained,2012
Orphaned Land,B07CXC32WM,"Vinyl,MP3 Music,Audio CD",9,4.4,Beloved's Cry,2018
Pain Of Salvation,B002QVOQ06,Audio CD,9,4.4,Second Death of,2009
Liturgy,B002FOQWJM,"Vinyl,MP3 Music,Audio CD",9,4.4,Renihilation,2009
Strapping Young Lad,B000007VDH,Audio CD,9,4.4,Strapping Young Lad,2008
Gamma Ray,B000006YX1,Audio CD,9,4.4,Silent Miracles,
Sepultura,B000BICM84,DVD,29,4.1,Sepultura - Live in Sao Paulo [DVD],
Spock's Beard,B00009RDE1,"Audio CD,MP3 Music",97,4,Feel Euphoria,2012
Ignitor,B08JDTPC17,"Audio CD,MP3 Music",6,4.6,The Golden Age of Black Magick,2020
CREDO,B001OPUWN0,Audio CD,6,4.6,This Is What We Do: Live In Poland,2009
Manticora,B0007GP5ZC,Audio CD,6,4.6,8 Deadly Sins,2010
Morgana Le Fay,B000006ZQ3,"Audio CD,MP3 Music",6,4.6,Past Present,
Moon'Doc,B006CQ5OZ2,"Audio CD,MP3 Music",6,4.6,Realm of Legends,2000
The Mars Volta,B0017W7EKE,"Audio CD,Audio CD",6,4.6,Frances the Mute,2008
Mammatus,B000ENC7JA,"Audio CD,MP3 Music",6,4.6,Mammatus,2006
Warmen,B0008KLVYQ,"Audio CD,MP3 Music",6,4.6,Unknown Soldier,2005
