artist,asin,media,review_count,star_rating,title,year,
Hammerfall,B006QNUFE6,"Audio CD,MP3 Music,Audio CD,Vinyl",134,4.6,"Chapter V : Unbent, Unbowed, Unbroken (Metal Box Edition)",2005,
Hatriot,B00FYBD7DW,"Audio CD,MP3 Music,Vinyl",42,4.7,Dawn Of The New Centurion,", et al.",
Various Artists,B0007KU8OQ,"Audio CD,MP3 Music,Vinyl",42,4.7,Decline of Western Civilization: Metal Years / Various,2011,
Nasty Savage,B08BWBV6ST,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",42,4.7,Nasty Savage,2020,
Agent Steel,B001DHIYBG,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",42,4.7,Unstoppable Force,2008,
Protector,B086B9VF17,"Audio CD,Vinyl",25,4.8,A Shedding Of Skin Inc. Slipcase + Poster,2020,
Metallica,B002INDYD2,"Vinyl,Audio CD,Audio, Cassette",25,4.8,"Enter Sandman (12"" Vinyl)",1991,
Dave Mustaine,B000063UQL,DVD,128,4.6,Megadeth - Rude Awakening,", et al.",
Fates Warning,B004UMCSB8,"Vinyl,MP3 Music,Audio CD",126,4.6,The Spectre Within,1985,
Sodom,B0000073Y2,"Audio CD,Vinyl",125,4.6,In the Sign of Evil,1998,
Coroner,B07B5WFTSR,"Vinyl,MP3 Music,Audio CD",125,4.6,R.I.P.,2018,
Iron Maiden,B00B2E4WCA,"Audio CD,Vinyl",123,4.6,The Trooper,1983,
Pentagram,B006RD8P3I,"MP3 Music,Audio CD",41,4.7,Last Rites,2011,
Motörhead,B00005Q6KD,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",119,4.6,No Sleep at All: Live,2001,
Lemmy,B0009S6QV0,DVD,119,4.6,Motörhead - Stage Fright DVD,", et al.",
Iron Maiden,B006CYWAN8,Vinyl,119,4.6,2 Minutes To Midnight,1984,
Various Artists,B00000AVLN,Audio CD,115,4.6,Kerrang the Album,1994,
Morgoth,B000K2Q908,"Audio CD,MP3 Music,Vinyl",40,4.7,Cursed,2006,
The Haunted,B0000250N4,"Audio CD,MP3 Music",40,4.7,Haunted,2008,
