artist,asin,media,review_count,star_rating,title,year,
Flowing Tears,B000063KP7,"Audio CD,MP3 Music",12,4.3,Serpentine,2002,
Anal Cunt,B00000IJVC,Audio CD,12,4.3,Picnic of Love,2001,
Deadlock,B001GOVOEA,"Audio CD,MP3 Music",17,4.2,Manifesto,2009,
Echoes of Eternity,B002I8QYF2,"Audio CD,MP3 Music",17,4.2,As Shadows Burn,2009,
Neaera,B001UDPBU0,"Audio CD,MP3 Music,Vinyl",17,4.2,Omnicide - Creation Unleashed,2009,
Venom,B006L88CPA,"MP3 Music,Audio CD",17,4.2,Possessed (Original Edition),1985,
Cannibal Corpse,B0006M17DG,Audio CD,9,4.4,Vile,2007,
Dr. Heathen Scum of The Mentors With Pungent Stench,B003FSTY7O,Audio CD,9,4.4,The Pungent Stench Sessions,2010,
Deceased,B000001131,Audio CD,9,4.4,Fearless Undead Machines,1997,
MaYaN,B07GRRH5HC,"Audio CD,MP3 Music",9,4.4,Dhyana,2018,
Necros Christos,B07BZC8B8R,"Audio CD,MP3 Music,Vinyl",9,4.4,Domedon Doxomedon,2018,
Death Before Dishonor,B000PKBSMY,"Audio CD,MP3 Music,Vinyl",9,4.4,Count Me In,2007,
Kult Ov Azazel,B0001Z36IC,"Audio CD,MP3 Music",9,4.4,Triumph of Fire,2004,
Ironflame,B07SQMQ8J6,"Audio CD,MP3 Music,Audio CD",9,4.4,Ironflame Lightning Strikes The Crown (Cd),,
REVEL IN FLESH,B00BUL97MA,"Vinyl,MP3 Music,Audio CD",9,4.4,Manifested Darkness,2013,
Liturgy,B002FOQWJM,"Vinyl,MP3 Music,Audio CD",9,4.4,Renihilation,2009,
I Built the Cross,B002TP5TDM,"Audio CD,MP3 Music",6,4.6,Bridging the Gap Between Mind,2011,
Destinity,B009D004YK,"Audio CD,MP3 Music",6,4.6,Resolve In Crimson,2012,
Polluted Inheritance,B00AXXO0J6,"Audio CD,MP3 Music,Vinyl",6,4.6,Ecocide,2013,
INJECTOR,B07CQKS2CB,Audio CD,6,4.6,Stone Prevails,2018,
Mortification,B000008PJE,"Audio CD,MP3 Music,Vinyl",16,4.2,Blood World,2009,
Death Threat,B0002JP4BY,Audio CD,6,4.6,Now Here Fast!,2017,
Va-Beauty In The Darkness,B000000H28,Audio CD,6,4.6,Beauty in Darkness 2,1997,
BETHLEHEM,B00480MPMY,"Audio CD,MP3 Music,Vinyl",6,4.6,Stoenkfitzchen,2010,
Vintersorg,B000OMD2TA,"Audio CD,MP3 Music",6,4.6,Solens Rotter,2007,
Mortiis,B000KP62MK,"Audio CD,MP3 Music",6,4.6,Keiser Av en Dimensjon Ukjent,2007,
