artist,asin,media,review_count,star_rating,title,year,
Scrape,B00005A8BL,"Audio CD,MP3 Music,Audio, Cassette",83,4.2,New Killer America,2001,
Replicant,B098GTZVXL,"Audio CD,MP3 Music",10,4.6,Malignant Reality,2021,
Black Light Burns,B00132S4N4,"Audio CD,MP3 Music",80,4.2,Cruel Melody,2008,
Evereve,B001AU3G1Y,"Audio CD,MP3 Music",10,4.6,Stormbirds,2008,
Unearth,B00006JYB9,Audio CD,10,4.6,Endless,2002,
S-Tool,B085KR3VZH,"Audio CD,MP3 Music,Vinyl",10,4.6,Exitus,2020,
Black Flag,B004WWRIYS,"MP3 Music,Audio CD",10,4.6,Louie Louie (Original Vinyl),1981,
Beth Hirsch,B001EHVPMK,"Audio CD,MP3 Music",10,4.6,Forgotten Paths (The Early Days),2000,
Linkin Park,B000UDT1XY,Audio CD,10,4.6,Bleed It Out,2007,
Rage Against The Machine,B00004VWCP,Audio CD,6,4.9,Testify,2000,
Melvins,B0000916TM,Audio CD,6,4.9,Melvinmania: Best of,2003,
Righteous Jams,B0007QN8LK,"Audio CD,MP3 Music",6,4.9,Rage Of Discipline,2005,
Guano Apes,B00070Q5ZW,DVD,6,4.9,Guano Apes: Planet of Apes - Best of The Guano Apes,,
Puny Human,B00008OM5O,"Audio CD,MP3 Music",6,4.9,It's Not the Heat It's the Humanity,2003,
Type O Negative,B0000074MO,Audio CD,6,4.9,Love You to Death,1996,
Godgory,B002N4PB1E,"Audio CD,MP3 Music",6,4.9,Way Beyond,2009,
Transmission0,B000NIIUYW,"Audio CD,MP3 Music",6,4.9,Memory of a Dream,2007,
Incubus,B000BRIAHW,"Audio CD,MP3 Music",6,4.9,Drive,2000,
Old Man Gloom,B00009P9ZB,"Audio CD,MP3 Music,Vinyl",6,4.9,Meditations,2000,
Various Artists,B000087DRU,Audio CD,6,4.9,Cradle of Fear,2003,
Incubus,B00005TNXK,Audio CD,6,4.9,I Wish You Were Here (Enhanced),,
Zao,B000007WYS,Audio CD,6,4.9,Zao,,
Samael,B0000073JM,Audio CD,6,4.9,1987-1992,1995,
Numb,B000005OQE,"Audio CD,MP3 Music,Vinyl",6,4.9,Numb,1997,
Dilate,B000001D49,"Audio CD,MP3 Music",6,4.9,Octagon,1997,
Slipknot,B000AA4FV0,Audio CD,75,4.2,"Mate, Feed, Kill, Repeat",2005,
Memento,B00008BXIJ,"Audio CD,MP3 Music",74,4.2,Beginnings,2003,
Throwdown,B00061HTKM,"Audio CD,Audio CD",74,4.2,Haymaker,2008,
Poisonblack,B001DHIYCK,"Audio CD,MP3 Music",28,4.3,Dead Heavy Day,2008,
Ghost Machine,B000F7CLZ0,Audio CD,17,4.4,Hypersensitive,2006,
"MANDARAVA,DAKINI",B01M7SVPDF,"Audio CD,MP3 Music",8,4.7,Entspanntsein: Asian Sunrise Relaxing Eastern Moods Music,2016,
Freaks & Clowns,B08GFSYFX1,"Vinyl,MP3 Music,Audio CD",8,4.7,Justice Elite,2020,
Marilyn Manson,B00005B1IF,Audio CD,17,4.4,Marilyn Manson and the Spooky Kids Live,2001,
Melvins,B000054259,Audio CD,17,4.4,Electroretard,,
Orgy,B0000256TP,Audio CD,8,4.7,Family Values Tour '98,2018,
Lower Definition,B00197KG3Y,"Audio CD,MP3 Music",17,4.4,The Greatest Of All Lost Arts,2008,
F5,B0007LQ1PU,"Audio CD,MP3 Music",8,4.7,The Reckoning,2008,
Steve Von Till,B00006J9MK,Audio CD,8,4.7,If I Should Fall to the Field,2002,
Volturyon,B088K718RL,"Audio CD,MP3 Music",8,4.7,Xenogenesis,2020,
Full Blown Chaos,B000TE8BLM,"Audio CD,MP3 Music",8,4.7,Heavy Lies the Crown,2007,
Dog Fashion Disco,B000H7JCN2,"Audio CD,MP3 Music",8,4.7,The City Is Alive Tonight-Live In Baltimore,2006,
Disturbed,B000065EMF,Audio CD,8,4.7,Sickness+5,2007,
Start Trouble,B0001LYGTO,"Audio CD,MP3 Music",8,4.7,Every Solution Has Its Problem,2004,
Various Artists,B0000ALFXF,"Audio CD,MP3 Music,Vinyl",17,4.4,Freddy Vs Jason,2003,
Mortification,B00007L4RS,"Audio CD,MP3 Music,Vinyl",8,4.7,Relentless,2003,
YEAR OF NO LIGHT,B00F1FVM2E,"Audio CD,MP3 Music",8,4.7,Vampyr,2013,
The Go-Betweens,B007Q7NOUS,Audio CD,17,4.4,1978 - 1990,1990,
Nickelback,B0001WGE34,Audio CD,8,4.7,Feelin' Way Too Damn Good,,
The Swift,B00008BNUQ,Audio CD,8,4.7,The Swift,2003,
Feeder,B000026XB2,"Audio CD,MP3 Music",8,4.7,High,1997,
Dwarves,B00000IAB9,"Audio CD,MP3 Music,Vinyl",17,4.4,Lick It,1999,
Beautiful Creatures,B000A7Q1RY,"Audio CD,MP3 Music",67,4.2,Deuce,2005,
Godhead,B000005BR3,"Audio CD,MP3 Music",27,4.3,Power Tool Stigmata,1998,
Linkin Park,B0000DESWZ,"Audio CD,Vinyl",27,4.3,Somewhere i Belong,,
Primer 55,B00005N8YV,"Audio CD,MP3 Music",66,4.2,New Release,2001,
Papa Roach,B000BRFAN4,DVD,65,4.2,Papa Roach - Live & Murderous In Chicago,,
Nine Inch Nails,B00083F3JM,"Audio CD,MP3 Music",64,4.2,The Hand That Feeds,2005,
Hawthorne Heights,B0006UEVJ0,Audio CD,64,4.2,Elektra: The Album,2005,
Glenn Tipton,B000E1ZBEK,"Audio CD,MP3 Music,Audio, Cassette",62,4.2,Baptizm of Fire,2006,
Systematic,B00008PBZO,"Audio CD,MP3 Music",26,4.3,Pleasure to Burn,2003,
Big Dismal,B000095J63,"Audio CD,MP3 Music",26,4.3,Believe,2003,
Psychotica,B000002MBC,"Audio CD,MP3 Music",12,4.5,Psychotica,1996,
Monster Magnet,B000ROAKQ8,"Audio CD,MP3 Music",12,4.5,20th Century Masters: Millennium Collection,2007,
Therapy?,B08WJY7XGC,Audio CD,12,4.5,Scopophobia: Live In Belfast Incl.,2021,
Before Their Eyes,B001G7EGJW,"Audio CD,MP3 Music",12,4.5,Dawn of My Death,2008,
Rollins Band,B00002Z84A,Audio CD,12,4.5,Live in Australia 1990,1999,
Opiate for the Masses,B000850J80,"Audio CD,MP3 Music",12,4.5,The Spore,2005,
Yo La Tengo,B0077VZT42,"Vinyl,MP3 Music,Audio CD",12,4.5,Ride The Tiger,1986,
Neon Cross,B001ACWRB2,"Audio CD,Audio, Cassette",12,4.5,Neon Cross,1988,
Powerman 5000,B000GBEOW8,Audio CD,57,4.2,Destroy What You Enjoy,2006,
Eighteen Visions,B000FVBLGG,"Audio CD,MP3 Music,Vinyl",57,4.2,Eighteen Visions,2006,
Faith No More,B000002M3G,Audio CD,25,4.3,Faith No More - Easy,1993,
Trik Turner,B00005YWFE,"Audio CD,MP3 Music",25,4.3,Trik Turner,2002,
Revolting Cocks,B002M2Z3DS,"Audio CD,MP3 Music",16,4.4,Sex-O Mixxx-O,2009,
Cognizance,B09917QR69,"Audio CD,MP3 Music,Vinyl",16,4.4,Upheaval,2021,
Ra,B000IFRQRC,"Audio CD,MP3 Music",16,4.4,Raw: Live,2006,
3 Inches of Blood,B000AULWWK,Audio CD,16,4.4,Battlecry Under A Winter Sun,2015,
Egypt,B00BMVHWJI,"Audio CD,MP3 Music,Vinyl",16,4.4,Become the Sun,2013,
Nirvana,B0043TVJEK,"Audio CD,Vinyl",16,4.4,In Bloom (Picture Disc),1992,
Lynch Mob,B08DVTDXXM,"Audio CD,MP3 Music,Vinyl",54,4.2,Evil: Live,2020,
Saosin,B000ACZX96,"Audio CD,MP3 Music",54,4.2,Saosin,2005,
Tea Party,B00002ZZH9,Audio CD,24,4.3,Alhambra,2000,
Die Kreuzen,B0000019G5,"Audio CD,MP3 Music,Vinyl",24,4.3,Die Kreuzen / October File,1998,
Eyes Set to Kill,B0026OPE9U,"Audio CD,MP3 Music",24,4.3,The World Outside,2010,
Fetid Zombie,B0943YTR8D,"Audio CD,MP3 Music",5,5,Transmutations,2021,
Damaged,B00005R1PS,Audio CD,5,5,Do Not Spit,2005,
Black from the Dead,B00007G73Y,Audio CD,5,5,Black From the Dead,2002,
Various Artists,B00004YL5K,Audio CD,5,5,Tales From the Crypt: Monsters of Metal,2000,
Jane's Addiction,B000002M1I,"Audio CD,Vinyl",5,5,Classic Girl,1991,
,B00000G24D,VHS Tape,5,5,Primus: Videoplasty [VHS],,
Bugzy,B000005CJZ,Audio CD,5,5,Bugzy,1997,
Lost Legacy,B084P856YX,"Audio CD,MP3 Music",5,5,In the Name of Freedom,2020,
P.O.D.,B001CDLAN0,Audio CD,5,5,Satelite / Fundamental Elements of Southtown,2008,
Pro-Pain,B000OLHGEI,Audio CD,5,5,Age of Tyranny,2007,
Oh Sleeper,B000JCEU0A,Audio CD,5,5,The Armored March,2006,
Judge D,B000AE8G2K,"Audio CD,MP3 Music",5,5,No Compromize,2005,
Bile,B0006213YY,"Audio CD,MP3 Music",5,5,Regurge: A Bucket of Bile Best of,2004,
Trust Company,B00006J9P3,"Audio CD,Vinyl",5,5,Downfall,2002,
Beyond,B0000570QO,"Audio CD,MP3 Music",5,5,Comparison,1996,
Victory Style (Series),B000009QJQ,Audio CD,5,5,Victory Style Vol. 3,1998,
Marilyn Manson,B0002YLB1Q,"Audio CD,MP3 Music,Vinyl",24,4.3,Personal Jesus,2004,
Alien Ant Farm,B00005NYA1,"Audio CD,MP3 Music",24,4.3,Smooth Criminal,2001,
Ozzy Osbourne,B000059TM5,Audio CD,24,4.3,Ozzfest: Second Stage Live,2001,
Danzig,B0009VI4T4,DVD,24,4.3,Danzig - Il Demonio Nera,,
The Pogues,B009AN6PM0,"MP3 Music,Audio CD",24,4.3,Waiting For Herb,1993,
Cabaret Voltaire,B0052VV664,"Audio Cassette,Audio CD",24,4.3,1974 - 1976,1980,
"DANZIG,GLENN",B000I5YD82,"Audio CD,Vinyl",51,4.2,Black Aria II,2006,
Peach gb,B00005QD9R,"Audio CD,MP3 Music",51,4.2,Giving Birth to a Stone,2002,
Ministry,B000002M3A,Audio CD,5,5,Just One Fix,1993,
Pink Anvil,B00008V5V5,Audio CD,5,5,Halloween Party,2015,
Puddle of Mudd,B0000VHR64,"Audio CD,MP3 Music",5,5,Away From Me,2003,
Michael Leonhart Orchestra,B09PHSPFYN,"Audio CD,MP3 Music",5,5,The Normyn Suite,2022,
,6302373638,VHS Tape,5,5,Cowboys From Hell,,
Oleander,B00005A8K3,"Audio CD,MP3 Music,Audio, Cassette",50,4.2,Unwind,2001,
Amorphis/Meshuggah/Dismember,B000000H19,Audio CD,5,5,Death Is Just Beginning 4,1997,
Mercury X,B09FTJ1XPP,Audio CD,5,5,Imprisoned,2021,
Various Artists,B000006DH1,Audio CD,5,5,Identity 4,1998,
Aeternitas,B08PH5JSNB,"Audio CD,MP3 Music",5,5,Haunted Minds,2021,
Tanna,B08BDYYMBK,"Audio CD,MP3 Music",5,5,Storm In Paradise,2020,
Fire Deuce,B081WQT45R,"Audio CD,MP3 Music,Vinyl",5,5,Lords of Diesel,2020,
Kringa,B07ZLJ9W2Q,"Audio CD,MP3 Music",5,5,Feast Upon the Gleam,2019,
Attack,B01N4RDL2F,"Vinyl,Audio CD",5,5,Destinies Of War,2021,
STEPHANIE P.ERKENS,B01MDPJEHT,Audio CD,5,5,Entspanntsein-Amazonas,2016,
The Breeders,B00A1VJY3W,"Vinyl,MP3 Music,Audio CD",5,5,Divine Hammer,1993,
Dog Faced Hermans,B0098SEJNE,"MP3 Music,Vinyl",5,5,Humans Fly,1988,
Brad,B008INTZXE,"Vinyl,Audio CD",5,5,Best Friends?,2010,
FANG,B008DNNXD2,"Audio CD,MP3 Music",5,5,Here Comes the Cops,2012,
Happy Mondays,B007M7U5IG,"Audio CD,Vinyl",5,5,The Peel Sessions,1990,
The White Stripes,B006J9I7I8,"Vinyl,MP3 Music",5,5,"Lord, Send Me An Angel",2011,
Korn,B0052PN8DE,Audio CD,5,5,イシューズ,2011,
Forge,B004KZPDAI,"Audio CD,MP3 Music",5,5,Trials,2011,
Foo Fighters,B0046N23TI,"Vinyl,Audio CD",5,5,Resolve,2005,
Andreas Gross,B002V9LPSE,"Vinyl,MP3 Music,Audio CD",5,5,We Like Ghost Girls inkl.,,
Thick as Blood,B001TJUPN8,"Audio CD,MP3 Music",5,5,Embrace,2009,
Slipknot,B001CZUYQ2,Audio CD,5,5,Psychosocial Premium,2008,
Skinlab,B0015RZAWK,"Audio CD,MP3 Music",5,5,Skinned Alive,2008,
Esoterica,B0014DBZWY,"Audio CD,MP3 Music",5,5,Fool,2008,
Seether,B000VS8UI0,Audio CD,5,5,Finding Beauty In Negative Spaces Australian,2007,
Lykathea Aflame,B000VL8VTU,"Audio CD,Vinyl",5,5,Elvenefris,2000,
Regurgitate,B000HD1AXQ,"Audio CD,MP3 Music",5,5,Sickening Bliss,2006,
Vena Amori,B000F4RHIO,Audio CD,5,5,Seduction of an American Housewife,2006,
Brodequin,B000F0G0KO,"Audio CD,MP3 Music",5,5,Festival of Death,2001,
Coliseum,B000BITTRQ,"Audio CD,Vinyl",5,5,Not of This World,2006,
Living Sacrifice,B00076S8NI,Audio CD,5,5,Metamorphosis Remixes,", et al.",
Stride,B00006JBJA,"Audio CD,MP3 Music",5,5,Music Machine,2002,
Papa Roach,B000068QRS,Audio CD,5,5,She Loves Me Not 2,2002,
Fair To Midland,B000062TUL,Audio CD,5,5,The Carbon Copy Silver Lining,2002,
Old Man Gloom,B00005B8NW,"Audio CD,MP3 Music,Vinyl",5,5,Seminar 3: Zozobra,2001,
