artist,asin,media,review_count,star_rating,title,year
U2,B07QY9TXYV,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",3756,4.8,The Joshua Tree - Exclusive Gold Condition-VG+NM,
Black Sabbath,B00WASEDVM,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",3616,4.8,Master of Reality,2015
AC/DC,B0000CDLKU,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",3690,4.8,High Voltage,2009
Motley Crue,B00000DFSQ,"Audio CD,MP3 Music,Vinyl",3433,4.8,Motley Crue - Greatest Hits,1998
AC/DC,B0000CDLKX,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",3424,4.8,The Razor's Edge,2009
Guns N' Roses,B000000IW9,"Audio CD,MP3 Music,Audio CD,Vinyl,Audio, Cassette",3510,4.8,Use Your Illusion 2 Original Master Recording,1997
Alice In Chains,B000026EF7,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",3482,4.8,Facelift,1999
Nickelback,B00FFERTUK,"Audio CD,MP3 Music",3225,4.8,"The Best of Nickelback, Vol. 1",2013
SLIPKNOT,B00003ZA0T,"Audio CD,MP3 Music,Vinyl",3213,4.8,Slipknot,2008
Bon Jovi,B00000I07P,"Audio CD,MP3 Music,Vinyl,Blu-ray Audio,Audio, Cassette",3246,4.8,Slippery When Wet Remastered,1999
Pup,B00PU3DB26,"Vinyl,Audio CD",210,4.9,Dream Is Over,2016
Kärbholz,B01N9FYV2R,"Audio CD,MP3 Music,Vinyl",203,4.9,Uberdosis Leben,2019
I Prevail,B08HSB4M5D,"Audio CD,MP3 Music,Vinyl",195,4.9,POST TRAUMATIC,2020
Karnivool,B00080SE96,"Audio CD,MP3 Music,Vinyl",191,4.9,Themata,2005
Black Sabbath,B018VEE4QW,"Audio CD,Vinyl",185,4.9,Paranoid,2016
Septic Flesh,B004P7VHVA,"Vinyl,MP3 Music,Audio CD",173,4.9,The Great Mass,2016
Flotsam & Jetsam,B01CE00Q8O,"Audio CD,MP3 Music,Vinyl",160,4.9,Flotsam And Jetsam,2016
Cult of Luna,B01BNLIQW8,"Vinyl,MP3 Music,Audio CD",143,4.9,Mariner,2016
Smash Into Pieces,B01MTJ3U81,"Audio CD,MP3 Music,Vinyl",138,4.9,Rise and Shine,2017
Ne Obliviscaris,B077698D8Z,"Vinyl,MP3 Music,Audio CD",139,4.9,Citadel Ltd. Ed. on transparent,2018
Swans,B000060OHW,"Audio CD,MP3 Music,Vinyl",137,4.9,The Great Annihilator,2002
Motörhead,B000A14OI8,"Audio CD,MP3 Music",136,4.9,BBC Live & in Session,2008
