artist,asin,media,review_count,star_rating,title,year
Deep Purple,B000E6G1IA,Audio CD,90,4.3,Deepest Purple,2006
Black Sabb,B00008G0YX,"Vinyl,Audio CD",14,4.6,Master of Reality,1990
Uriah Heep,B0000040MS,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",89,4.3,Head First,1998
Motörhead,B000BI1YKG,"Audio CD,Audio DVD",31,4.4,Deaf Forever: Best of Motorhead,2005
Deep Purple,B000005RSD,"Audio CD,Vinyl",31,4.4,Singles A's & B's,1998
Vardis,B002GCI6FQ,"Audio CD,MP3 Music,Vinyl",19,4.5,Quo Vardis,2009
Diamond Head,B0001EMM4C,Audio CD,30,4.4,Am I Evil? The Anthology,2009
Deep Purple,B00004SF5J,Audio CD,30,4.4,Deep Purple - Greatest Hits,2000
Classic Rock Anthems,B000006BDA,Audio CD,30,4.4,Classic Rock Anthems,2005
UFO,B000LZBQNY,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",76,4.3,Misdemeanor,
Bruce Dickinson,B000CCS828,"DVD,DVD",71,4.3,Iron Maiden: Death on the Road,", et al."
Budgie,B0006A7VU6,Audio CD,29,4.4,Last Stage,2005
Uriah Heep,B00004R97F,"Audio CD,MP3 Music,Vinyl",69,4.3,Different World,
Uriah Heep,B000E5L8K2,"Audio CD,MP3 Music,Vinyl",18,4.5,Collection,2006
Saxon,B000UADYMG,Audio CD,13,4.6,Axe Killer Warrior's Set,2007
Deep Purple,B000E6G1HQ,Audio CD,13,4.6,24 Carat Purple,2006
Steel Prophet,B001E45SVM,Audio CD,17,4.5,Genesis Remastered Gold,2008
GRIM REAPER,B096ZS682M,"Audio CD,Vinyl",17,4.5,Reaping The Whirlwind: Live British Steel Festival 2018,2022
Angel Witch,B00000HZB3,"Audio CD,Vinyl",10,4.7,Angel Witch,1999
Venom,B00000I27W,Audio CD,10,4.7,Best of Venom: in Memorium,
Led Zeppelin,B00000EC21,"Audio, Cassette,Audio CD,Vinyl",17,4.5,Use Atl 92444,
Tygers of Pan Tang,B000056NKZ,"Audio CD,MP3 Music,Vinyl",26,4.4,Wreck-Age,2001
UFO,B00000K23T,Audio CD,26,4.4,Werewolves of London,1999
Venom,B00005V4UX,"Audio CD,MP3 Music,Vinyl",25,4.4,Possessed,2002
Ian Gillan,B0000070HJ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",51,4.3,Live at the Budokan,
Led Zeppelin,B001O4C64Y,"Vinyl,Audio CD,Vinyl",51,4.3,Led Zeppelin IV,2008
Gronibard,B09TF1PVV4,"Vinyl,MP3 Music,Audio CD",6,5,Regarde les Hommes Sucer,2022
Ozzy Osbourne,B00004VPCR,Audio CD,24,4.4,Best Of Ozz,2007
Various Artists,B000WW1SUC,Audio CD,16,4.5,Heavy Metal Box,2007
Tygers of Pan Tang,B000056NL1,"Audio CD,MP3 Music",8,4.8,Live at Wacken,2001
Iron Maiden,B000008GVH,Audio CD,8,4.8,Killers,
Budgie,B00000APLJ,Audio CD,12,4.6,Heavier Than Air: Live at BBC,
Saxon,B000008KFP,"Audio CD,Audio, Cassette",6,5,Saxon - Greatest Hits: Live!,1991
UFO,B0000074NT,Audio CD,6,5,Obsession/No Place to Run,1999
Uriah Heep,B00000592I,Audio CD,8,4.8,Time of Revelation: 25 Years on,1996
,B00000B4NT,Audio CD,6,5,Finest of Hard Rock V.3,
UFO,B0000AQRZU,Audio CD,8,4.8,Then & Now,2003
Saxon,B00000FYGY,Audio CD,8,4.8,BBC Sessions,1999
Iron Maiden,B003CRH1J6,"Vinyl,Audio CD",8,4.8,Purgatory - Maiden Japan,1990
Deep Purple,B001A9TK4M,Audio CD,8,4.8,This Time Around Live in Tokyo 75,2008
Uriah Heep,B000SM6ZV8,Audio CD,8,4.8,Live in Moscow,2007
Ozzy Osbourne,B000PWQOAS,Audio CD,8,4.8,Speak of the Devil,2007
Black Sabbath,B000LRZ0X4,"Vinyl,Audio CD",6,5,"Past Lives, Vol. 1",2007
Witchfynde,B000FJHW5M,"Audio CD,MP3 Music,Vinyl",8,4.8,Cloak & Dagger,2006
Deep Purple,B000E6G1I0,Audio CD,6,5,Powerhouse,2006
Motörhead,B0001IN152,Vinyl,6,5,St. Valentines Day Massacre,2004
Saxon,B00006350F,"Audio CD,Vinyl",8,4.8,Crusader,2002
Raven,B00002MYEF,Audio CD,8,4.8,Destroy All Monsters,2007
Motorhead,B00000EKNJ,"Audio Cassette,Audio CD",8,4.8,Birthday Party,1990
Black Sabbath,B000B7KXJ0,"DVD,Blu-ray",46,4.3,Rock Milestones: Black Sabbath's Paranoid,
UFO,B0000011OX,Audio CD,15,4.5,Making Contact / Misdemeanor,1996
Diamond Head,B00004C4HE,"Audio CD,MP3 Music",15,4.5,Am I Evil,2001
Ozzy Osbourne,B000007V1L,Audio CD,39,4.3,Ozzy Osbourne - Ozzman Cometh: Greatest Hits,2000
Judas Priest,B002B55H8M,Audio CD,39,4.3,A Touch of Evil - Live,2009
Judas Priest,B000HRMEEG,Audio CD,9,4.7,Box Set,2006
Deep Purple,B00018QISO,Audio CD,9,4.7,Early Years,2004
Ian Gillan Band,B002R6QU5O,"Audio CD,MP3 Music",9,4.7,Clear Air Turbulance Remastered Gold,2010
Deep Purple,B000006Y3Y,Audio CD,21,4.4,Mk III: The Final Concerts,1996
,6300249883,VHS Tape,21,4.4,Judas Priest...live! VHS,
Uriah Heep,B0002W19U6,"Audio DVD,Vinyl",21,4.4,Gold From the Byron Era,2004
