artist,asin,media,review_count,star_rating,title,year
Destruction,B08F6JZ4ZK,Vinyl,1,5,Infernal Overkill Poster,2020
Venom,B07QBM4GLR,Audio CD,1,5,Demon (Demo 1980),
Bethlehem,B0B5NFP23Z,"Vinyl,MP3 Music,Audio CD",2,4.2,Mein Weg,2022
Bethlehem,B08WNPQ9WH,"Vinyl,MP3 Music,Audio CD",1,5,Insomnia,2022
Adam Nergal Darski,B09ZRN9QHP,Vinyl,1,5,Antichristian Phenomenon - Splatter, | 
Ancient,B09X3C5K5S,"Audio CD,MP3 Music,Vinyl",1,5,Eerily Howling Winds,2022
Xasthur,B09KCMKL43,"Vinyl,MP3 Music",1,5,A Gate Through Bloodstained Mirrors,2021
Slipknot,B0002HT4P8,Audio CD,1,5,Xtreme Rock,", et al."
Luna 13,B07FY1FJHD,"Audio CD,MP3 Music",1,5,G.O.A.T Witch,2018
Ragnarok,B005UOZXQM,Audio CD,1,5,Ragnarok/Ragnarok Live (2 on 1),
Gentle Faith,B004JVNJEK,Audio CD,1,5,Maranatha! Collection Volume 3 1974-1976,", et al."
Deinonychus,B0BHX5NV37,"Audio CD,MP3 Music",1,5,Ark Of Thought,2022
Necrophobic,B0BHKT9XRS,"Audio CD,Vinyl",1,5,The Third Antichrist 2022 Limited Jewelcase in Slipcase,2022
Melechesh,B09WJHTN1B,MP3 Music,1,5,As Jerusalem Burns Al'Intisar - Exclusive Limited Edition Transparent Red Colored Vinyl LP,
Axis Of Advance,B09M3TVZ41,"Audio CD,MP3 Music",1,5,The List,2022
Axis of Advance,B09M3RJKCH,"Audio CD,MP3 Music",1,5,Obey,2022
Samael,B09KNCWQTM,Vinyl,1,5,Medieval Prophecy,2022
Tiamat,B09HP2X48K,Vinyl,1,5,Do You Dream Of Me? Shaped Picture,2021
Mecrodeath,B098VL7SJR,"Vinyl,Audio CD",1,5,Black As Pitch,2021
Obscurity,B098GT27V8,Vinyl,1,5,Skogarmaors (Red,2021
Månegarm,B09499WYH4,Audio CD,1,5,Havets Vargar O-Card + Patch,2021
Manegarm,B0948JY57W,Audio CD,1,5,Nordstjarnans Tidsalder O-Card + Patch,2021
Enthroned,B08ZBCNV8N,Vinyl,1,5,Towards The Skullthrone / Regie Sathanas,2021
SAMAEL,B08VCN6BTS,Vinyl,1,5,Baphomet's Throne Shaped Picture,2021
Bewitched,B08LNJL2SF,Audio CD,1,5,Encyclopedia Of Evil / Hell Comes,2020
Bestial Mockery,B08JF17RP8,"Audio CD,MP3 Music",1,5,Evoke The Desecrator,2020
Naer Mataron,B08FTCXKY8,"Audio CD,MP3 Music",1,5,Lucitherion Temple Of The Radiant Sun Booklet,2020
Graveland,B08FBHZ1Q5,Audio CD,1,5,Graveland - Swit Stalowych Ostrzy (Jewel Case) (Cd),
Impiety,B08FBHJ8VV,"Audio CD,Audio CD",1,5,Impiety - Versus All Gods (Cd),
No/Más,B08D4V8G2Y,Audio CD,1,5,No/Más - Raíz Del Mal,2020
NECRODEATH,B08B7G8F1T,"Vinyl,Audio CD",1,5,Neraka,2021
HOLOCAUSTO,B089M41ZDT,Audio Cassette,1,5,War General,2020
Vesperian Sorrow,B0841BHBWX,"Audio CD,MP3 Music",1,5,Regenesis Creation,2020
Blood Of The Wolf,B07YXBWC7L,"Audio CD,MP3 Music,Audio CD",1,5,III: Blood Legend,
RUINS,B07Y9D3XJ8,"Vinyl,MP3 Music",1,5,Marea / Tide,2019
Beherit,B07XWBH2B7,"Vinyl,Audio CD,Vinyl",1,5,"Electric Doom Synthesis (12"" LP)",
Sunn O)))&boris,B07XC4WG96,"Vinyl,Vinyl",1,5,Altar 3x LP (Pressed on Purple Vinyl) (Limited to /500 copies),2007
Hate Forest,B07WCXL8KG,Audio Cassette,1,5,Hate Forest - Nietzscheism (Cassette),
Enslaved,B07VXF88K5,Vinyl,1,5,"Enslaved - Eld (12"" Gatefold DOUBLE LP on Brown Marbled Vinyl)",
Sabbat,B07TRYWV23,Vinyl,1,5,"Sabbaticarved Sacrifice (12"" LP)",
Necrodeath,B07T1SPV7C,"Vinyl,MP3 Music",1,5,"The Shining Pentagram (12"" Gatefold LP)",
Impiety,B07SJBHC7R,"Vinyl,MP3 Music,Audio CD",1,5,"Asateerul Awaleen (12"" Gatefold Picture Disc LP)",
REVENGE,B07QB1JWTR,Vinyl,1,5,Four Song Ep,2019
Svartsyn,B07PZX92M4,"Vinyl,MP3 Music,Audio CD",1,5,Wrath Upon the Earth,2019
Necromancer,B07NLD18CX,"Audio CD,MP3 Music",1,5,Necromancer,1999
Phantom,B07NBC89HX,"Audio CD,MP3 Music",1,5,Withdrawal,2018
Nightfall,B07JJY4Z9B,"Vinyl,MP3 Music,Audio CD",1,5,Astron Black & The Thirty Tyrants,2019
Dornenreich,B07J3BBYTG,Vinyl,1,5,Schwellenklange,2018
Witchfynde,B07GVZMKHG,Audio CD,1,5,ギブ・ゼム・ヘル 3,2018
