Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
468,Stanley Umude,SG,23,DET,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,umudest01
469,Jonas Valančiūnas,C,30,NOP,71,71,24.9,5.7,10.4,.551,0.5,1.5,.350,5.2,9.0,.584,.576,2.4,2.9,.828,2.8,7.1,9.9,1.7,0.3,0.6,2.0,3.0,14.4,valanjo01
470,Jarred Vanderbilt,PF,23,TOT,70,57,24.4,3.2,5.9,.547,0.3,1.1,.295,2.9,4.8,.606,.575,1.3,1.9,.692,2.3,5.5,7.8,2.5,1.1,0.3,1.3,2.5,8.1,vandeja01
470,Jarred Vanderbilt,PF,23,UTA,52,41,24.1,3.3,6.0,.556,0.4,1.1,.333,3.0,4.9,.606,.587,1.3,2.0,.657,2.3,5.5,7.9,2.7,1.0,0.3,1.3,2.6,8.3,vandeja01
470,Jarred Vanderbilt,PF,23,LAL,18,16,25.4,2.9,5.7,.520,0.2,1.2,.190,2.7,4.5,.605,.539,1.4,1.7,.806,2.1,5.5,7.6,1.9,1.3,0.3,1.3,2.5,7.5,vandeja01
471,Fred VanVleet,PG,28,TOR,62,62,36.9,6.5,16.3,.397,3.1,8.8,.347,3.4,7.5,.456,.491,3.7,4.1,.895,0.5,3.7,4.2,7.0,1.7,0.5,2.0,2.8,19.7,vanvlfr01
472,Devin Vassell,SG,22,SAS,37,31,31.1,6.9,15.8,.441,2.8,7.1,.391,4.2,8.7,.481,.528,2.1,2.7,.780,0.2,3.6,3.9,3.6,1.2,0.5,1.5,1.5,18.8,vassede01
473,Gabe Vincent,PG,26,MIA,61,27,26.2,3.3,8.4,.396,1.7,5.2,.327,1.6,3.1,.510,.498,1.1,1.2,.892,0.4,1.7,2.1,2.4,0.9,0.1,1.5,2.4,9.4,vincega01
474,Noah Vonleh,C,27,BOS,23,1,7.4,0.5,1.0,.458,0.0,0.2,.250,0.4,0.9,.500,.479,0.1,0.1,1.000,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1,vonleno01
475,Nikola Vučević,C,32,CHI,73,73,34.1,7.3,14.2,.514,1.5,4.4,.350,5.7,9.7,.588,.568,1.6,1.9,.830,2.0,9.3,11.3,3.3,0.8,0.8,1.8,2.3,17.7,vucevni01
476,Dean Wade,PF,26,CLE,39,9,19.9,1.6,3.9,.408,1.0,2.8,.349,0.6,1.1,.558,.533,0.4,0.6,.652,0.4,2.9,3.3,0.8,0.6,0.5,0.4,2.1,4.5,wadede01
477,Franz Wagner,SF,21,ORL,73,73,33.0,6.9,14.1,.489,1.7,4.6,.362,5.2,9.5,.550,.548,3.3,3.9,.837,0.9,3.1,4.0,3.6,0.9,0.2,2.1,2.3,18.7,wagnefr01
478,Moritz Wagner,C,25,ORL,51,17,20.2,3.6,7.3,.496,0.9,3.0,.310,2.7,4.3,.628,.560,2.9,3.4,.844,1.3,3.4,4.7,1.6,0.7,0.2,1.2,2.5,11.1,wagnemo01
479,Ish Wainright,SF,28,PHO,54,1,15.2,1.4,3.8,.377,0.9,2.8,.333,0.5,0.9,.510,.502,0.5,0.5,.862,0.8,1.4,2.2,0.9,0.7,0.3,0.4,2.0,4.3,wainris01
480,Jabari Walker,SF,20,POR,47,0,9.0,1.1,2.6,.433,0.1,0.6,.233,1.0,1.9,.500,.463,0.5,0.7,.758,0.8,1.2,2.0,0.5,0.1,0.2,0.4,1.0,2.9,walkeja01
481,Kemba Walker,PG,32,DAL,9,1,16.0,2.7,6.3,.421,0.8,3.1,.250,1.9,3.2,.586,.482,1.9,2.3,.810,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0,walkeke02
482,Lonnie Walker IV,SG,24,LAL,52,32,24.5,4.5,10.0,.448,1.7,4.7,.363,2.8,5.3,.524,.534,1.8,2.0,.858,0.3,1.8,2.1,1.2,0.6,0.3,0.9,1.3,12.4,walkelo01
483,John Wall,PG,32,LAC,34,3,22.2,4.1,9.9,.408,1.0,3.2,.303,3.1,6.7,.459,.457,2.3,3.3,.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,walljo01
484,T.J. Warren,PF-SF,29,TOT,37,0,16.6,3.3,6.6,.502,0.5,1.6,.339,2.8,5.0,.554,.543,0.7,0.9,.794,0.5,2.2,2.8,0.8,0.5,0.2,0.5,1.6,7.9,warretj01
484,T.J. Warren,PF,29,BRK,26,0,18.8,3.9,7.7,.510,0.6,1.8,.333,3.3,5.8,.566,.550,1.0,1.3,.818,0.5,2.3,2.8,1.1,0.6,0.3,0.7,1.7,9.5,warretj01
484,T.J. Warren,SF,29,PHO,11,0,11.5,1.9,4.1,.467,0.4,1.0,.364,1.5,3.1,.500,.511,0.0,0.1,.000,0.6,2.2,2.8,0.2,0.5,0.2,0.2,1.2,4.2,warretj01
485,Duane Washington Jr.,SG,22,PHO,31,3,12.7,3.0,8.3,.367,1.3,3.6,.360,1.7,4.7,.372,.445,0.5,0.8,.667,0.1,1.1,1.2,2.0,0.2,0.1,1.1,0.7,7.9,washidu02
486,P.J. Washington,PF,24,CHO,70,70,32.8,5.8,13.2,.438,2.0,5.8,.342,3.8,7.4,.514,.513,1.7,2.4,.725,1.0,3.8,4.8,2.3,0.9,1.1,1.5,2.6,15.3,washipj01
487,TyTy Washington Jr.,PG,21,HOU,30,2,13.7,1.8,5.2,.355,0.6,2.6,.218,1.3,2.6,.494,.410,0.3,0.5,.625,0.1,1.3,1.4,1.6,0.4,0.1,0.5,0.9,4.6,washity02
488,Yuta Watanabe,SF,28,BRK,51,0,16.7,2.1,4.1,.505,1.1,2.3,.458,1.0,1.8,.565,.633,0.6,0.8,.756,0.5,1.9,2.5,0.9,0.5,0.3,0.4,1.4,5.8,watanyu01
489,Lindy Waters III,SG,25,OKC,37,0,12.8,1.6,4.2,.394,1.4,3.8,.366,0.2,0.4,.692,.561,0.4,0.5,.833,0.3,1.4,1.7,0.7,0.3,0.2,0.3,1.0,5.1,waterli01
490,Trendon Watford,PF,22,POR,56,6,19.0,2.6,4.8,.554,0.4,1.0,.407,2.3,3.8,.592,.596,1.1,1.5,.744,0.7,3.2,3.9,2.1,0.6,0.2,1.1,2.0,6.8,watfotr01
491,Peyton Watson,SG,20,DEN,16,0,3.1,0.8,1.4,.565,0.3,0.4,.667,0.6,1.1,.529,.652,0.0,0.1,.000,0.2,0.3,0.5,0.1,0.0,0.1,0.1,0.2,1.9,watsope01
492,Blake Wesley,SG,19,SAS,29,1,17.2,1.8,5.7,.315,0.6,1.4,.381,1.2,4.2,.293,.364,0.7,1.2,.600,0.4,1.7,2.1,2.5,0.6,0.1,1.7,1.9,4.9,weslebl01
493,Russell Westbrook,PG,34,TOT,66,17,28.9,5.7,13.5,.425,1.1,3.9,.291,4.6,9.6,.480,.467,2.9,4.3,.668,1.2,4.8,5.9,7.4,1.0,0.4,3.6,2.3,15.5,westbru01
493,Russell Westbrook,PG,34,LAL,52,3,28.7,5.8,14.0,.417,1.2,4.1,.296,4.6,9.9,.467,.460,3.0,4.6,.655,1.1,5.0,6.2,7.5,1.0,0.4,3.5,2.3,15.9,westbru01
493,Russell Westbrook,PG,34,LAC,14,14,29.6,5.4,11.6,.463,0.9,3.2,.267,4.5,8.4,.538,.500,2.5,3.4,.729,1.3,3.7,5.0,7.1,1.1,0.4,3.7,2.4,14.1,westbru01
494,Coby White,SG,22,CHI,65,1,22.9,3.3,7.6,.435,1.7,4.6,.373,1.6,3.0,.528,.547,0.8,1.0,.857,0.2,2.5,2.7,2.4,0.8,0.1,0.9,1.7,9.2,whiteco01
495,Derrick White,SG,28,BOS,74,62,28.3,4.2,9.2,.461,1.8,4.7,.382,2.4,4.5,.544,.559,2.0,2.3,.876,0.6,2.8,3.5,4.0,0.7,0.9,1.1,2.3,12.3,whitede01
496,Jack White,SF,25,DEN,16,0,3.2,0.4,1.0,.438,0.2,0.5,.375,0.3,0.5,.500,.531,0.1,0.2,.667,0.2,0.4,0.6,0.2,0.1,0.1,0.1,0.5,1.2,whiteja03
497,Joe Wieskamp,SF,23,TOR,5,0,6.0,0.6,1.6,.375,0.6,1.4,.429,0.0,0.2,.000,.563,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.2,0.4,1.8,wieskjo01
498,Aaron Wiggins,SG,24,OKC,62,14,18.3,2.5,5.0,.497,0.6,1.7,.381,1.9,3.3,.556,.561,0.8,1.0,.806,1.0,2.1,3.1,1.2,0.5,0.2,0.8,1.5,6.5,wiggiaa01
499,Andrew Wiggins,SF,27,GSW,37,37,32.2,6.8,14.3,.473,2.4,6.1,.396,4.4,8.2,.530,.557,1.2,1.9,.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,2.9,17.1,wiggian01
500,Lindell Wigginton,PG,24,MIL,4,0,4.3,0.8,2.3,.333,0.0,1.0,.000,0.8,1.3,.600,.333,0.5,0.5,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.3,2.0,wiggili01
501,Alondes Williams,SG,23,BRK,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,willial06
502,Grant Williams,PF,24,BOS,71,22,26.6,2.8,6.2,.455,1.5,3.8,.403,1.3,2.4,.535,.577,1.2,1.5,.789,1.1,3.6,4.7,1.7,0.6,0.4,1.1,2.6,8.4,willigr01
503,Jalen Williams,SG,21,OKC,68,55,30.0,5.3,10.3,.516,1.0,2.8,.348,4.4,7.5,.578,.563,2.0,2.5,.793,1.1,3.4,4.5,3.2,1.3,0.5,1.6,2.5,13.5,willija06
504,Jaylin Williams,PF,20,OKC,42,29,18.1,2.1,4.9,.436,0.9,2.3,.411,1.2,2.6,.459,.532,0.8,1.1,.711,0.8,4.0,4.8,1.5,0.5,0.3,0.7,2.3,5.9,willija07
